1	1.57837977
1.1	0.415636725
1.21	0.10945014
1.33	0.029126516
1.46	0.007893535
1.61	0.002007471
1.77	0.000532826
1.95	0.000137318
2.14	3.74E-05
2.36	9.49E-06
2.59	2.58E-06
2.85	6.77E-07
3.14	1.74E-07
3.45	4.66E-08
3.8	1.21E-08
4.18	3.17E-09
4.59	8.57E-10
5.05	2.25E-10
5.56	5.85E-11
6.12	1.53E-11
6.73	4.04E-12
7.4	1.07E-12
8.14	2.81E-13
8.95	7.46E-14
9.85	1.95E-14
10.83	5.17E-15
11.92	1.35E-15
13.11	3.56E-16
14.42	9.39E-17
15.86	2.48E-17
17.45	6.50E-18
19.19	1.72E-18
21.11	4.52E-19
23.23	1.18E-19
25.55	3.12E-20
28.1	8.26E-21
30.91	2.21E-21
34	6.60E-22
37.4	3.11E-22
41.14	2.28E-22
45.26	1.86E-22
49.79	1.54E-22
54.76	1.27E-22
60.24	1.06E-22
66.26	8.77E-23
72.89	7.30E-23
80.18	6.10E-23
88.2	5.13E-23
97.02	4.37E-23
106.72	3.77E-23
117.39	3.32E-23
129.13	3.02E-23
142.04	2.83E-23
156.25	2.75E-23
171.87	2.75E-23
189.06	2.84E-23
207.97	2.98E-23
228.76	3.17E-23
251.64	3.41E-23
276.8	3.69E-23
304.48	4.01E-23
334.93	4.37E-23
368.42	4.77E-23
405.27	5.22E-23
445.79	5.71E-23
490.37	6.26E-23
539.41	6.87E-23
593.35	7.54E-23
652.68	8.27E-23
717.95	9.09E-23
789.75	9.98E-23
868.72	1.10E-22
955.59	1.21E-22
1051.15	1.32E-22
1156.27	1.46E-22
1271.9	1.60E-22
1399.08	1.76E-22
1538.99	1.94E-22
1692.89	2.13E-22
1862.18	2.34E-22
2048.4	2.57E-22
2253.24	2.83E-22
2478.56	3.11E-22
2726.42	3.43E-22
2999.06	3.77E-22
3298.97	4.14E-22
3628.87	4.56E-22
3991.75	5.01E-22
4390.93	5.51E-22
4830.02	6.07E-22
5313.02	6.67E-22
5844.32	7.34E-22
6428.76	8.07E-22
7071.63	8.88E-22
7778.8	9.77E-22
8556.68	1.07E-21
9412.34	1.18E-21
